,close,return,realreturn,direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
2332,100.208,0.002107840244974506,0.2109999999999843,1,2,1,2,2,3,0.2109999999999843,1,0.2109999999999843,74.75371836971232
2333,99.899,-0.0030883501886596644,-0.3089999999999975,-1,2,2,1,2,2,0.3089999999999975,0,-0.0,67.45216515609278
2334,100.184,0.0028488196673338924,0.2849999999999966,1,1,2,2,1,2,0.2849999999999966,1,0.2849999999999966,67.18781725888334
2335,99.955,-0.0022884105540251945,-0.2289999999999992,-1,2,1,2,2,1,0.2289999999999992,0,-0.0,66.12709832134288
2336,101.07,0.01109326137886502,1.1149999999999949,1,1,2,1,2,2,1.1149999999999949,1,1.1149999999999949,70.27358821466156
2337,101.314,0.002411258975229573,0.24399999999999977,1,3,1,2,1,2,0.24399999999999977,1,0.24399999999999977,73.17954897572719
2338,101.46600000000001,0.0014991619338019229,0.15200000000001523,1,2,3,1,2,1,0.15200000000001523,1,0.15200000000001523,74.71576446631605
2339,101.26100000000001,-0.0020224249347574096,-0.2049999999999983,-1,2,2,3,1,2,0.2049999999999983,0,-0.0,71.6933867735472
2340,102.148,0.008721399960697592,0.8869999999999862,1,1,2,2,3,1,0.8869999999999862,1,0.8869999999999862,83.31992922631504
2341,102.25,0.0009980529013681753,0.10200000000000387,1,3,1,2,2,3,0.10200000000000387,1,0.10200000000000387,79.94972931167835
2342,102.4,0.001465917682496412,0.15000000000000568,1,2,3,1,2,2,0.15000000000000568,1,0.15000000000000568,80.3784295175025
2343,102.947,0.0053275800844047845,0.546999999999997,1,2,2,3,1,2,0.546999999999997,1,0.546999999999997,80.58416026961251
2344,102.412,-0.00521039945032342,-0.5349999999999966,-1,2,2,2,3,1,0.5349999999999966,0,-0.0,77.10498029380157
2345,102.265,-0.001436409809359091,-0.14700000000000557,-1,1,2,2,2,3,0.14700000000000557,0,-0.0,72.15709261430241
2346,101.68700000000001,-0.005668015488161364,-0.5779999999999887,-1,1,1,2,2,2,0.5779999999999887,0,-0.0,63.482224247949105
2347,102.863,0.011498537835990563,1.1759999999999877,1,1,1,1,2,2,1.1759999999999877,1,1.1759999999999877,73.33123425692703
2348,103.28299999999999,0.00407478758875859,0.4199999999999875,1,3,1,1,1,2,0.4199999999999875,1,0.4199999999999875,73.88623400647454
2349,102.736,-0.005310202315024817,-0.5469999999999828,-1,2,3,1,1,1,0.5469999999999828,0,-0.0,70.43350477590027
2350,102.40700000000001,-0.0032075214076806814,-0.3289999999999935,-1,1,2,3,1,1,0.3289999999999935,0,-0.0,61.1064960956972
2351,103.29899999999999,0.008672625892613688,0.8919999999999817,1,1,1,2,3,1,0.8919999999999817,1,0.8919999999999817,64.88675566221704
2352,103.219,-0.0007747509079265915,-0.0799999999999983,-1,3,1,1,2,3,0.0799999999999983,0,-0.0,63.29037149355579
2353,103.005,-0.002075413887949693,-0.21399999999999864,-1,1,3,1,1,2,0.21399999999999864,0,-0.0,63.2041187159298
